2023-07-18 15:14:55,073 INFO    StreamThr :2625 [internal.py:wandb_internal():86] W&B internal server running at pid: 2625, started at: 2023-07-18 15:14:55.072979
2023-07-18 15:14:55,075 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status
2023-07-18 15:14:55,080 INFO    WriterThread:2625 [datastore.py:open_for_write():85] open: /Users/heroofwisdom/Documents/GitHub/Citrine_Test_V3/wandb/run-20230718_151455-1l43nbjm/run-1l43nbjm.wandb
2023-07-18 15:14:55,081 DEBUG   SenderThread:2625 [sender.py:send():369] send: header
2023-07-18 15:14:55,109 DEBUG   SenderThread:2625 [sender.py:send():369] send: run
2023-07-18 15:14:55,380 INFO    wandb-upload_0:2625 [upload_job.py:push():91] Uploaded file /Users/heroofwisdom/Library/Application Support/wandb/artifacts/staging/tmp1rw_f0f5
2023-07-18 15:14:55,407 INFO    SenderThread:2625 [dir_watcher.py:__init__():211] watching files in: /Users/heroofwisdom/Documents/GitHub/Citrine_Test_V3/wandb/run-20230718_151455-1l43nbjm/files
2023-07-18 15:14:55,408 INFO    SenderThread:2625 [sender.py:_start_run_threads():1100] run started: 1l43nbjm with start time 1689714895.073347
2023-07-18 15:14:56,109 INFO    SenderThread:2625 [sender.py:send_request_log_artifact():1414] logged artifact Test21e84856 - {'id': 'QXJ0aWZhY3Q6NTE2MDYyMzg5', 'digest': '7bbd814b8da91e1e8f342052d7aa168e', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjgzOTM4MDYz', 'latestArtifact': None}, 'version': 'latest'}
2023-07-18 15:15:00,116 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:00,133 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:00,415 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:03,247 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: stop_status
2023-07-18 15:15:03,248 DEBUG   SenderThread:2625 [sender.py:send_request():396] send_request: stop_status
2023-07-18 15:15:05,152 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:05,311 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:05,429 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:08,261 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:10,166 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:10,325 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:10,442 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:13,267 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:15,179 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:15,450 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:16,196 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:17,136 INFO    Thread-47 :2625 [dir_watcher.py:_on_file_modified():289] file/dir modified: /Users/heroofwisdom/Documents/GitHub/Citrine_Test_V3/wandb/run-20230718_151443-zrvp5ggo/files/output.log
2023-07-18 15:15:18,288 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: keepalive
2023-07-18 15:15:20,463 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:21,210 DEBUG   HandlerThread:2625 [handler.py:handle_request():144] handle_request: status_report
2023-07-18 15:15:22,149 INFO    Thread-47 :2625 [dir_watcher.py:_on_file_modified():289] file/dir modified: /Users/heroofwisdom/Documents/GitHub/Citrine_Test_V3/wandb/run-20230718_151443-zrvp5ggo/files/config.yaml
